DIST;POWER;SWING
19.4;0.10;45
21.5;0.10;45
21.7;0.10;0
22.1;0.10;45
22.7;0.10;45
22.7;0.10;45
22.9;0.10;0
22.9;0.10;45
23.2;0.10;45
23.3;0.10;25
23.3;0.10;95
23.6;0.10;25
23.7;0.10;25
23.9;0.10;0
24;0.10;45
24.1;0.10;45
24.1;0.10;95
24.2;0.10;0
24.4;0.10;0
24.4;0.10;25
25;0.10;25
25.2;0.10;25
25.2;0.10;25
25.2;0.10;25
25.6;0.10;45
26;0.10;0
26;0.10;25
26.3;0.10;0
26.3;0.10;0
26.4;0.10;60
26.5;0.10;0
26.5;0.10;25
26.5;0.10;60
26.7;0.10;60
26.9;0.10;75
27;0.10;60
27.4;0.10;60
27.4;0.10;95
28;0.10;60
28;0.10;60
28;0.10;95
28.1;0.10;95
28.3;0.10;75
28.6;0.10;60
29;0.10;75
29.3;0.10;0
29.4;0.10;75
29.4;0.10;95
29.6;0.10;60
29.8;0.10;60
29.9;0.10;75
30.1;0.10;75
30.2;0.10;110
30.4;0.10;75
30.5;0.10;95
30.7;0.10;75
30.8;0.10;110
31.2;0.10;75
31.7;0.10;95
31.8;0.10;110
31.9;0.10;110
32;0.10;110
32;0.10;110
32.1;0.10;95
32.2;0.10;110
32.4;0.10;95
32.8;0.10;110
33.2;0.10;110
34;0.10;110
34.5;0.10;75
40;0.14;25
40.7;0.14;25
40.8;0.14;25
40.8;0.14;25
41.2;0.14;25
41.5;0.14;25
42.8;0.14;25
44.5;0.14;25
44.7;0.14;25
44.9;0.14;25
46;0.14;75
47.3;0.14;75
47.4;0.14;75
48.6;0.14;95
48.7;0.14;0
49.2;0.14;0
49.3;0.14;0
49.9;0.14;75
49.9;0.14;75
50.2;0.14;0
50.3;0.14;45
50.4;0.14;60
50.4;0.14;60
50.5;0.14;75
50.6;0.14;45
50.8;0.14;75
50.9;0.14;0
51.1;0.14;60
51.2;0.14;0
51.2;0.14;95
51.5;0.14;45
51.6;0.14;0
51.6;0.14;45
51.6;0.14;75
51.6;0.14;75
51.9;0.14;95
52.1;0.14;0
52.1;0.14;45
52.6;0.14;0
52.6;0.14;45
53.4;0.14;75
53.6;0.14;95
53.8;0.14;95
53.9;0.14;0
54.3;0.14;60
54.5;0.14;95
54.8;0.14;60
54.9;0.14;45
55.5;0.14;95
55.6;0.14;95
55.9;0.14;95
56;0.14;60
56.2;0.14;60
56.4;0.14;45
56.5;0.14;95
56.6;0.14;60
57;0.14;60
57.9;0.14;60
58;0.14;45
60.9;0.14;45
63;0.14;110
63.2;0.14;110
64.2;0.14;110
64.5;0.14;110
64.5;0.14;110
65.5;0.14;110
66.5;0.14;110
68.2;0.18;75
69.5;0.14;110
69.6;0.18;0
70.1;0.18;75
71.9;0.18;0
71.9;0.18;0
72;0.18;0
72.5;0.14;110
72.7;0.14;110
73;0.18;60
73.3;0.18;0
73.3;0.18;75
73.4;0.18;60
73.5;0.18;0
74.8;0.18;60
74.9;0.18;60
75.4;0.18;60
76.3;0.18;0
77.4;0.18;0
78.2;0.18;0
78.2;0.18;75
78.3;0.18;0
80.4;0.18;60
80.8;0.18;60
81.9;0.18;75
82.5;0.18;75
82.6;0.18;75
82.8;0.18;75
84.6;0.18;60
86.1;0.18;60
86.2;0.18;95
86.6;0.18;25
86.7;0.18;45
86.9;0.20;60
87;0.18;75
87;0.18;95
87.5;0.18;60
88;0.18;95
88.6;0.18;75
88.6;0.20;60
88.7;0.18;45
88.7;0.20;60
89.1;0.20;60
90.1;0.20;60
91;0.18;95
91.3;0.18;25
91.3;0.18;45
91.9;0.18;45
92.1;0.18;45
92.3;0.18;25
92.4;0.18;95
92.4;0.20;60
92.5;0.18;45
92.7;0.18;95
93.4;0.18;25
93.4;0.18;95
93.5;0.18;45
94;0.18;95
94.1;0.18;95
95.2;0.20;60
95.3;0.18;110
95.6;0.18;45
95.8;0.18;25
95.9;0.18;95
96.5;0.22;60
96.6;0.20;60
96.9;0.18;25
97.6;0.18;45
97.6;0.22;60
98.2;0.18;45
99.2;0.18;25
99.2;0.18;25
99.2;0.18;110
99.8;0.18;110
100.2;0.18;25
100.8;0.20;60
100.9;0.20;0
101.2;0.22;60
101.4;0.18;110
102.1;0.22;60
103;0.18;110
103;0.20;0
103.2;0.18;110
103.8;0.18;110
103.9;0.20;45
103.9;0.20;75
104;0.20;45
104.6;0.20;45
104.6;0.20;75
104.7;0.18;110
104.8;0.20;95
105;0.20;75
105.3;0.18;25
105.4;0.18;110
105.7;0.22;45
106.2;0.20;75
107.3;0.20;0
107.7;0.20;45
108.2;0.20;75
108.2;0.20;75
108.4;0.20;75
108.9;0.20;75
109.6;0.20;45
109.9;0.20;0
110.2;0.20;60
110.3;0.22;45
110.7;0.20;95
110.9;0.20;95
111.3;0.18;110
111.9;0.20;45
111.9;0.20;95
112;0.22;60
